feature,coefficient,abs_coefficient,selected
FT3_3M,0.7322131018953638,0.7322131018953638,True
ThyroidW,0.4494105784033952,0.4494105784033952,True
FT4_3M,0.4389624759844801,0.4389624759844801,True
FT4_1M,0.1940415374015661,0.1940415374015661,True
TSH_3M,-0.1380451310790724,0.1380451310790724,True
D_TSH_3M-0M,-0.1257384352672535,0.1257384352672535,True
FT3_1M,0.0551495438182306,0.0551495438182306,True
TRAb,0.0149127874864301,0.0149127874864301,True
Height,-0.0048579167629808,0.0048579167629808,True
Sex,0.0,0.0,False
Age,0.0,0.0,False
Weight,0.0,0.0,False
BMI,0.0,0.0,False
Exophthalmos,0.0,0.0,False
RAI3d,0.0,0.0,False
TreatCount,0.0,0.0,False
TGAb,0.0,0.0,False
TPOAb,0.0,0.0,False
Uptake24h,0.0,0.0,False
MaxUptake,0.0,0.0,False
HalfLife,0.0,0.0,False
Dose,0.0,0.0,False
FT3_0M,0.0,0.0,False
FT4_0M,0.0,0.0,False
TSH_0M,0.0,0.0,False
TSH_1M,0.0,0.0,False
D_FT3_3M-0M,0.0,0.0,False
D_FT4_3M-0M,0.0,0.0,False
